subject,transitionType,acc,transitionThreatKind,acc_descriptor,transition_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,0,neutral-threat,false_alarms,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-neutral,correct_rejections,no_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,i,1,threat-threat,hits,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,i,1,neutral-neutral,hits,no_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,i,1,neutral-neutral,hits,no_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,i,1,threat-neutral,hits,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,i,1,threat-neutral,hits,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-neutral,correct_rejections,no_threat
sub28,l,1,neutral-neutral,correct_rejections,no_threat
sub28,i,1,neutral-neutral,hits,no_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-neutral,correct_rejections,no_threat
sub28,l,1,neutral-neutral,correct_rejections,no_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,0,threat-neutral,false_alarms,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-neutral,correct_rejections,no_threat
sub28,i,1,neutral-threat,hits,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,i,0,neutral-threat,misses,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,i,1,threat-threat,hits,contains_threat
sub28,l,1,threat-neutral,correct_rejections,contains_threat
sub28,l,1,neutral-threat,correct_rejections,contains_threat
sub28,l,1,threat-threat,correct_rejections,contains_threat
